id_styear,startYear
1,2016
2,2021
3,2018
4,1994
5,2020
6,2005
7,2013
8,2010
9,2008
10,2019
11,2003
12,2012
13,2017
14,2014
15,2015
16,2006
17,2009
18,1996
19,2011
20,2000
21,1987
22,2007
23,1989
24,1999
25,1993
26,2001
27,1990
28,1995
29,1997
30,1984
31,1998
32,1975
33,1966
34,2002
35,1978
36,1976
37,1982
38,1971
39,1980
40,1968
41,2004
42,2022
43,1962
44,
45,1983
46,1969
47,1960
48,1961
49,1988
50,1956
51,1979
52,1955
53,1958
54,1986
55,1974
56,1992
57,1967
58,1932
59,1941
60,1991
61,1950
62,1981
63,1957
64,1952
65,1948
66,1945
67,1954
68,1946
69,1953
70,1947
71,1973
72,1977
73,1972
74,1985
75,1965
76,1944
77,1938
78,1933
