id_language,language,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1,english,,,,,
2,french,,,,,
3,italian,,,,,
4,dutch,,,,,
5,japanese,,,,,
6,spanish,,,,,
7,norwegian,,,,,
8,polish,,,,,
9,german,,,,,
10,'-,,,,,
11,hebrew,,,,,
12,thai,,,,,
13,korean,,,,,
14,urdu,,,,,
15,flemish,,,,,
16,mandarin,,,,,
17,chinese,,,,,
18,portuguese,,,,,
19,swedish,,,,,
20,hindi,,,,,
21,icelandic,,,,,
22,latin,,,,,
23,turkish,,,,,
24,russian,,,,,
25,danish,,,,,
26,tamil,,,,,
27,malayalam,,,,,
28,finnish,,,,,
29,indonesian,,,,,
30,arabic,,,,,
31,filipino,,,,,
32,telugu,,,,,
33,galician,,,,,
34,luxembourgish,,,,,
35,marathi,,,,,
36,central khmer,,,,,
37,cantonese,,,,,
38,tswana,,,,,
39,persian,,,,,
40,american sign language,,,,,
41,hungarian,,,,,
42,tagalog,,,,,
43,mongolian,,,,,
44,none,,,,,
45,catalan,,,,,
46,wolof,,,,,
47,basque,,,,,
48,vietnamese,,,,,
49,scanian,,,,,
50,malay,,,,,
51,georgian,,,,,
52,ukrainian,,,,,
53,romanian,,,,,
54,croatian,,,,,
55,zulu,,,,,
56,bengali,,,,,
57,ibo,,,,,
58,kannada,,,,,
59,akan,,,,,
60,yoruba,,,,,
61,xhosa,,,,,
62,greek,,,,,
63,hausa,,,,,
64,afrikaans,,,,,
65,punjabi,,,,,
66,min nan,,,,,
67,brazilian,,,,,
68,"greek, ancient (to 1453)",,,,,
69,gujarati,,,,,
70,swahili,,,,,
71,yiddish,,,,,
72,lompiano,,,,,
